WORD,BROWN_FREQ,WORD_CATEGORY
SUSPICIOUS       ,75,J
TREND            ,75,N
TREND            ,75,V
CAMPUS           ,76,N
CONTINUOUS       ,76,J
DISTINCT         ,76,J
DOCUMENT         ,76,N
DOCUMENT         ,76,V
GHOST            ,76,N
HORIZON          ,76,N
DUG              ,77,V
GRACIOUS         ,77,J
HANDY            ,77,J
LITERARY         ,77,J
LONGING          ,77,N
PUBLISHER        ,77,N
TENSION          ,77,N
ERROR            ,78,N
INITIAL          ,78,J
INITIAL          ,78,N
INITIAL          ,78,V
PRIEST           ,78,N
EMPHASIS         ,79,N
PRIMITIVE        ,79,J
RESISTANCE       ,79,N
KIT              ,80,N
RELATE           ,80,V
RESIDENCE        ,80,N
SOLE             ,80,J
SOLE             ,80,N
SOLE             ,80,V
BASIC            ,81,J
CONTENTS         ,81,N
DELIVERY         ,81,N
GIGGLE           ,81,N
GIGGLE           ,81,V
GRIND            ,81,N
GRIND            ,81,V
PERMISSION       ,81,N
PIT              ,81,N
PIT              ,81,V
TECHNICAL        ,81,J
APRON            ,82,N
EIGHTY           ,82,J
EIGHTY           ,82,N
OBSERVER         ,82,N
PROMPT           ,82,J
PROMPT           ,82,N
PROMPT           ,82,V
COUNCIL          ,83,N
DOMINATE         ,83,V
GUARANTEE        ,83,N
GUARANTEE        ,83,V
MINOR            ,83,J
MINOR            ,83,N
SHAKEN           ,83,V
TON              ,83,N
ADVERTISE        ,84,V
BULK             ,84,N
BULK             ,84,V
CATHOLIC         ,84,J
CATHOLIC         ,84,N
CHAT             ,84,N
PERCENTAGE       ,84,N
POET             ,84,N
POETRY           ,84,N
BOOKLET          ,85,N
PROCEDURE        ,85,N
REVERSE          ,85,N
REVERSE          ,85,V
TRANSPORT        ,85,N
TRANSPORT        ,85,V
ASSERT           ,86,V
EDITORIAL        ,86,J
EDITORIAL        ,86,N
GHASTLY          ,86,J
IDENTIFY         ,86,V
IMPORT           ,86,N
IMPORT           ,86,V
MINIMUM          ,86,N
WRETCHED         ,86,J
FATAL            ,87,J
IMMENSE          ,87,J
LIFETIME         ,87,N
SUBSTANTIAL      ,87,J
DETECT           ,88,V
EXPORT           ,88,N
EXPORT           ,88,V
FACULTY          ,88,N
IGNORANT         ,88,J
MATTRESS         ,88,N
RAILWAY          ,88,N
WICKED           ,88,J
CONDEMN          ,89,V
EMPIRE           ,89,N
IMPRESSIVE       ,89,J
ALTER            ,90,V
ESTABLISHMENT    ,90,N
LABEL            ,90,N
LABEL            ,90,V
PROPOSAL         ,90,N
RIGID            ,90,J
SACK             ,90,N
SACK             ,90,V
CHIMNEY          ,91,N
CLICK            ,91,N
CLICK            ,91,V
CONDUCTOR        ,91,N
ENVIRONMENT      ,91,N
FUSS             ,91,N
FUSS             ,91,V
GROOM            ,91,N
GROOM            ,91,V
LIQUID           ,91,J
LIQUID           ,91,N
OBJECTION        ,91,N
PHASE            ,91,N
RUDE             ,91,J
SCRIPT           ,91,N
SCRIPT           ,91,V
ASPECT           ,92,N
ASSIST           ,92,V
PA               ,92,N
PINT             ,92,N
POSITIVE         ,92,J
POSITIVE         ,92,N
RESPECTABLE      ,92,J
THIRTEEN         ,92,J
ARTIFICIAL       ,93,J
ELECTRICAL       ,93,J
FICTION          ,93,N
PEAK             ,93,N
PEAK             ,93,V
RIP              ,93,V
ROTTEN           ,93,J
DRIP             ,94,N
DRIP             ,94,V
INTENSE          ,94,J
MAKER            ,94,N
SENIOR           ,94,J
SENIOR           ,94,N
SYMBOL           ,94,N
WARDROBE         ,94,N
ADEQUATE         ,95,J
COMPARISON       ,95,N
HEADACHE         ,95,N
LITERATURE       ,95,N
SCIENTIST        ,95,N
PORTRAIT         ,96,N
GORGEOUS         ,97,J
IMAGE            ,97,N
IMAGE            ,97,V
JOLLY            ,97,J
THEATRICAL       ,97,J
THEATRICAL       ,97,N
HOLY             ,98,J
FACTOR           ,99,N
JOINT            ,99,J
JOINT            ,99,N
JOINT            ,99,V
LADDER           ,99,N
STOUT            ,99,J
STOUT            ,99,N
LANDSCAPE        ,100,N
POEM             ,100,N
SHELF            ,100,N
ABSOLUTE         ,101,J
CRITIC           ,101,N
NORTHERN         ,101,J
UNIQUE           ,101,J
ARCHITECT        ,102,N
CULTURE          ,102,N
CULTURE          ,102,V
BLEND            ,103,N
BLEND            ,103,V
IGNORANCE        ,103,N
LINK             ,103,N
LINK             ,103,V
LIT              ,103,V
LIVELY           ,103,J
REGULATION       ,103,N
SOFA             ,103,N
MISTAKEN         ,104,V
PALACE           ,104,N
RAT              ,104,N
RESIGN           ,104,V
SKILL            ,104,N
EDUCATIONAL      ,105,J
NEEDN'T          ,105,V
PROVISION        ,105,N
PROVISION        ,105,V
STEAK            ,105,N
CONSERVATIVE     ,106,J
CONSERVATIVE     ,106,N
DISCIPLINE       ,106,N
DISCIPLINE       ,106,V
HAMMER           ,106,N
HAMMER           ,106,V
LAZY             ,106,J
CIVILIZATION     ,107,N
FAME             ,107,N
KETTLE           ,107,N
OUTLINE          ,107,N
OUTLINE          ,107,V
OVERNIGHT        ,107,J
UNCERTAIN        ,107,J
MEANTIME         ,108,N
REFLECTION       ,108,N
UNFORTUNATE      ,108,J
ARISE            ,109,V
BELL             ,109,N
BELL             ,109,V
NINETEEN         ,109,J
NINETEEN         ,109,N
RECOGNITION      ,109,N
APPROPRIATE      ,110,J
APPROPRIATE      ,110,V
CHAIRMAN         ,110,N
CONCERT          ,110,N
CONCERT          ,110,V
CRITICISM        ,110,N
HONEYMOON        ,110,N
INSPECTOR        ,110,N
SESSION          ,110,N
SHOVE            ,110,N
SHOVE            ,110,V
AMATEUR          ,111,N
BOLD             ,111,J
CARRIAGE         ,111,N
DESCRIPTION      ,111,N
DISTINCTION      ,111,N
DIVE             ,111,N
DIVE             ,111,V
STABLE           ,111,J
STABLE           ,111,N
STABLE           ,111,V
UNIVERSAL        ,111,J
FARE             ,112,N
FARE             ,112,V
FASHIONABLE      ,112,J
FURIOUS          ,112,J
PARDON           ,112,N
PARDON           ,112,V
REFERENCE        ,112,N
REMOTE           ,112,J
SENATE           ,112,N
SPECIALIST       ,112,N
SWITCH           ,112,N
SWITCH           ,112,V
UNCOMFORTABLE    ,112,J
ALIKE            ,114,J
SLIDE            ,114,N
SLIDE            ,114,V
UNPLEASANT       ,114,J
BEHAVE           ,115,V
POLITE           ,115,J
SELF             ,115,J
SELF             ,115,N
FEMALE           ,116,J
FEMALE           ,116,N
INVESTIGATION    ,116,N
PHILOSOPHY       ,116,N
PRAISE           ,116,N
PRAISE           ,116,V
SCRATCH          ,116,N
SCRATCH          ,116,V
ACCENT           ,117,N
ACCENT           ,117,V
CONTRIBUTION     ,117,N
COUNTER          ,117,J
COUNTER          ,117,N
COUNTER          ,117,V
OCEAN            ,117,N
CHAP             ,118,N
CHAP             ,118,V
DISSOLVE         ,118,V
TYPICAL          ,118,J
AVAILABLE        ,119,J
BLEW             ,119,V
ECONOMICS        ,119,N
MEDIUM           ,119,J
MEDIUM           ,119,N
SPLIT            ,119,N
SPLIT            ,119,V
TERRIFIC         ,119,J
VIVID            ,119,J
WARD             ,119,N
WARD             ,119,V
AWKWARD          ,120,J
RESPONSE         ,120,N
STALK            ,120,N
STALK            ,120,V
STRUCTURE        ,120,N
CABLE            ,121,N
CABLE            ,121,V
CONVENIENT       ,121,J
ELABORATE        ,121,J
ELABORATE        ,121,V
EMOTIONAL        ,121,J
PORTER           ,121,N
STOLE            ,121,N
STOLE            ,121,V
WOLF             ,121,N
WOLF             ,121,V
NUMEROUS         ,122,J
DRUG             ,123,N
DRUG             ,123,V
CAMERA           ,124,N
DISAPPOINTMENT   ,124,N
ECONOMY          ,124,N
OPENING          ,124,N
SENSITIVE        ,124,J
SENSITIVE        ,124,N
SWEAT            ,124,N
SWEAT            ,124,V
BUS              ,125,N
RECKON           ,125,V
TENSE            ,125,J
TENSE            ,125,N
TROUSERS         ,125,N
APPLICATION      ,126,N
COLLAPSE         ,126,N
COLLAPSE         ,126,V
PROSPEROUS       ,126,J
SHED             ,126,N
SHED             ,126,V
ADJUST           ,127,V
CLIMATE          ,127,N
SPEAKER          ,127,N
ACHIEVEMENT      ,128,N
CASTLE           ,128,N
INCREDIBLE       ,128,J
INVEST           ,128,V
DEADLY           ,129,J
GENUINE          ,129,J
PENNY            ,129,N
DON              ,130,N
DON              ,130,V
